"InocRep","Relative_Abundance","Family"
"C12R1",0.019786218,"Moraxellaceae"
"C12R2",0.052080964,"Moraxellaceae"
"C6R4",0.000227428,"Moraxellaceae"
"C12R4",0.026154196,"Moraxellaceae"
"C12R5",0.012281101,"Moraxellaceae"
"C7R6",0.000227428,"Moraxellaceae"
"C8R6",0.000227428,"Moraxellaceae"
"C9R7",0.000227428,"Moraxellaceae"
"C11R1",0.000454856,"Moraxellaceae"
"C12R1",0.00204685,"Moraxellaceae"
"C8R2",0.000682283,"Moraxellaceae"
"C10R2",0.000227428,"Moraxellaceae"
"C11R2",0.348419377,"Moraxellaceae"
"C12R2",0.002501706,"Moraxellaceae"
"C8R3",0.000227428,"Moraxellaceae"
"C9R3",0.000682283,"Moraxellaceae"
"C11R3",0.000682283,"Moraxellaceae"
"C12R3",0.000682283,"Moraxellaceae"
"C9R4",0.000454856,"Moraxellaceae"
"C11R4",0.000227428,"Moraxellaceae"
"C12R4",0.000682283,"Moraxellaceae"
"C2R1",0.031157607,"Aeromonadaceae"
"C12R1",0.000682283,"Aeromonadaceae"
"C10R2",0.000682283,"Aeromonadaceae"
"C11R2",0.262906527,"Aeromonadaceae"
"C12R2",0.000682283,"Aeromonadaceae"
"C2R3",0.001364567,"Aeromonadaceae"
"C10R3",0.001591995,"Aeromonadaceae"
"C12R3",0.000909711,"Aeromonadaceae"
"C2R4",0.000454856,"Aeromonadaceae"
"C11R4",0.002956561,"Aeromonadaceae"
"C12R4",0.000227428,"Aeromonadaceae"
"C10R5",0.001364567,"Aeromonadaceae"
"C2R6",0.023197635,"Aeromonadaceae"
"C1R8",0.000227428,"Aeromonadaceae"
"C2R8",0.046622697,"Aeromonadaceae"
"C2R8",0.002501706,"Aeromonadaceae"
"C11R1",0.007277689,"Pseudomonadaceae"
"C11R3",0.016602229,"Pseudomonadaceae"
"C11R4",0.149192631,"Pseudomonadaceae"
"C11R5",0.005458267,"Pseudomonadaceae"
"C10R6",0.000227428,"Pseudomonadaceae"
"C11R6",0.008869684,"Pseudomonadaceae"
"C7R3",0.004548556,"Enterobacteriaceae"
"C1R1",0.197862179,"Enterobacteriaceae"
"C11R1",0.06072322,"Enterobacteriaceae"
"C1R2",0.41096202,"Enterobacteriaceae"
"C7R2",0.012963384,"Enterobacteriaceae"
"C1R3",0.317944053,"Enterobacteriaceae"
"C7R3",0.050716398,"Enterobacteriaceae"
"C11R3",0.119399591,"Enterobacteriaceae"
"C1R4",0.025471913,"Enterobacteriaceae"
"C2R4",0.076643166,"Enterobacteriaceae"
"C7R4",0.074596316,"Enterobacteriaceae"
"C8R4",0.002729134,"Enterobacteriaceae"
"C1R5",0.455992722,"Enterobacteriaceae"
"C11R5",0.12053673,"Enterobacteriaceae"
"C1R6",0.057084376,"Enterobacteriaceae"
"C2R6",0.115078463,"Enterobacteriaceae"
"C3R6",0.000454856,"Enterobacteriaceae"
"C7R6",0.004775984,"Enterobacteriaceae"
"C8R6",0.008187401,"Enterobacteriaceae"
"C11R6",0.047759836,"Enterobacteriaceae"
"C1R7",0.067091199,"Enterobacteriaceae"
"C3R7",0.000909711,"Enterobacteriaceae"
"C7R7",0.001137139,"Enterobacteriaceae"
"C1R8",0.128496702,"Enterobacteriaceae"
"C2R8",0.180350239,"Enterobacteriaceae"
"C8R8",0.000909711,"Enterobacteriaceae"
"C1R3",0.004321128,"Enterobacteriaceae"
"C1R7",0.007277689,"Enterobacteriaceae"
"C1R1",0.314305208,"Enterobacteriaceae"
"C2R1",0.234478053,"Enterobacteriaceae"
"C8R1",0.168523994,"Enterobacteriaceae"
"C11R1",0.004548556,"Enterobacteriaceae"
"C1R2",0.011826245,"Enterobacteriaceae"
"C10R2",0.77029793,"Enterobacteriaceae"
"C11R2",0.034569024,"Enterobacteriaceae"
"C1R3",0.420059131,"Enterobacteriaceae"
"C2R3",0.450534455,"Enterobacteriaceae"
"C3R3",0.014327951,"Enterobacteriaceae"
"C7R3",0.012281101,"Enterobacteriaceae"
"C8R3",0.351830794,"Enterobacteriaceae"
"C10R3",0.844666818,"Enterobacteriaceae"
"C12R3",0.003638845,"Enterobacteriaceae"
"C1R4",0.843302252,"Enterobacteriaceae"
"C2R4",0.256083693,"Enterobacteriaceae"
"C3R4",0.012735956,"Enterobacteriaceae"
"C7R4",0.001364567,"Enterobacteriaceae"
"C9R4",0.03093018,"Enterobacteriaceae"
"C10R4",0.827837162,"Enterobacteriaceae"
"C11R4",0.733682056,"Enterobacteriaceae"
"C1R5",0.025244485,"Enterobacteriaceae"
"C3R5",0.022970207,"Enterobacteriaceae"
"C8R5",0.272231067,"Enterobacteriaceae"
"C10R5",0.687286786,"Enterobacteriaceae"
"C11R5",0.004548556,"Enterobacteriaceae"
"C1R6",0.504889698,"Enterobacteriaceae"
"C2R6",0.188765067,"Enterobacteriaceae"
"C8R6",0.01137139,"Enterobacteriaceae"
"C10R6",0.875142142,"Enterobacteriaceae"
"C11R6",0.288833295,"Enterobacteriaceae"
"C1R7",0.414373436,"Enterobacteriaceae"
"C10R7",0.008869684,"Enterobacteriaceae"
"C11R7",0.26881965,"Enterobacteriaceae"
"C12R7",0.012281101,"Enterobacteriaceae"
"C1R8",0.38003184,"Enterobacteriaceae"
"C2R8",0.029110757,"Enterobacteriaceae"
"C8R8",0.009779395,"Enterobacteriaceae"
"C11R1",0.021378212,"Enterobacteriaceae"
"C12R3",0.042756425,"Enterobacteriaceae"
"C3R6",0.002274278,"Enterobacteriaceae"
"C8R6",0.000909711,"Enterobacteriaceae"
"C8R8",0.001364567,"Enterobacteriaceae"
"C8R1",0.012963384,"Enterobacteriaceae"
"C6R5",0.003638845,"Enterobacteriaceae"
"C6R6",0.037298158,"Enterobacteriaceae"
"C3R1",0.83215829,"Enterobacteriaceae"
"C4R1",0.56538549,"Enterobacteriaceae"
"C5R1",0.775756197,"Enterobacteriaceae"
"C6R1",0.537866727,"Enterobacteriaceae"
"C7R1",0.804412099,"Enterobacteriaceae"
"C9R1",0.674323402,"Enterobacteriaceae"
"C12R1",0.84443939,"Enterobacteriaceae"
"C2R2",0.837843985,"Enterobacteriaceae"
"C3R2",0.866045031,"Enterobacteriaceae"
"C4R2",0.480327496,"Enterobacteriaceae"
"C5R2",0.783033887,"Enterobacteriaceae"
"C6R2",0.535592449,"Enterobacteriaceae"
"C7R2",0.686149647,"Enterobacteriaceae"
"C8R2",0.972936093,"Enterobacteriaceae"
"C9R2",0.856720491,"Enterobacteriaceae"
"C12R2",0.811689788,"Enterobacteriaceae"
"C3R3",0.874459859,"Enterobacteriaceae"
"C4R3",0.283829884,"Enterobacteriaceae"
"C5R3",0.572663179,"Enterobacteriaceae"
"C6R3",0.617011599,"Enterobacteriaceae"
"C7R3",0.184671367,"Enterobacteriaceae"
"C9R3",0.932681374,"Enterobacteriaceae"
"C11R3",0.001137139,"Enterobacteriaceae"
"C12R3",0.087787128,"Enterobacteriaceae"
"C3R4",0.777348192,"Enterobacteriaceae"
"C4R4",0.538549011,"Enterobacteriaceae"
"C5R4",0.75278599,"Enterobacteriaceae"
"C6R4",0.55924494,"Enterobacteriaceae"
"C7R4",0.015692518,"Enterobacteriaceae"
"C8R4",0.742779168,"Enterobacteriaceae"
"C9R4",0.705935865,"Enterobacteriaceae"
"C12R4",0.788492154,"Enterobacteriaceae"
"C2R5",0.770070503,"Enterobacteriaceae"
"C3R5",0.88469411,"Enterobacteriaceae"
"C4R5",0.472822379,"Enterobacteriaceae"
"C5R5",0.79918126,"Enterobacteriaceae"
"C6R5",0.532181033,"Enterobacteriaceae"
"C7R5",0.904480327,"Enterobacteriaceae"
"C8R5",0.331134865,"Enterobacteriaceae"
"C9R5",0.860359336,"Enterobacteriaceae"
"C12R5",0.849897657,"Enterobacteriaceae"
"C3R6",0.857175347,"Enterobacteriaceae"
"C4R6",0.527859904,"Enterobacteriaceae"
"C5R6",0.719354105,"Enterobacteriaceae"
"C6R6",0.501023425,"Enterobacteriaceae"
"C7R6",0.794860132,"Enterobacteriaceae"
"C9R6",0.828292017,"Enterobacteriaceae"
"C12R6",0.851489652,"Enterobacteriaceae"
"C2R7",0.753468274,"Enterobacteriaceae"
"C3R7",0.881510121,"Enterobacteriaceae"
"C4R7",0.552422106,"Enterobacteriaceae"
"C5R7",0.790084148,"Enterobacteriaceae"
"C6R7",0.559472368,"Enterobacteriaceae"
"C7R7",0.70957471,"Enterobacteriaceae"
"C8R7",0.864225608,"Enterobacteriaceae"
"C9R7",0.793722993,"Enterobacteriaceae"
"C10R7",0.004775984,"Enterobacteriaceae"
"C12R7",0.80736866,"Enterobacteriaceae"
"C2R8",0.012053673,"Enterobacteriaceae"
"C3R8",0.832840573,"Enterobacteriaceae"
"C4R8",0.556515806,"Enterobacteriaceae"
"C5R8",0.823288606,"Enterobacteriaceae"
"C6R8",0.577439163,"Enterobacteriaceae"
"C7R8",0.924948829,"Enterobacteriaceae"
"C8R8",0.000682283,"Enterobacteriaceae"
"C3R1",0.019331362,"Enterobacteriaceae"
"C3R2",0.010461678,"Enterobacteriaceae"
"C3R3",0.018649079,"Enterobacteriaceae"
"C3R4",0.014100523,"Enterobacteriaceae"
"C3R5",0.033431885,"Enterobacteriaceae"
"C12R5",0.027291335,"Enterobacteriaceae"
"C3R6",0.030247896,"Enterobacteriaceae"
"C3R7",0.022742779,"Enterobacteriaceae"
"C3R8",0.013873095,"Enterobacteriaceae"
"C4R1",0.001364567,"Enterobacteriaceae"
"C6R1",0.004321128,"Enterobacteriaceae"
"C4R2",0.143506937,"Enterobacteriaceae"
"C4R3",0.391630657,"Enterobacteriaceae"
"C6R3",0.001137139,"Enterobacteriaceae"
"C6R4",0.000454856,"Enterobacteriaceae"
"C4R5",0.123038435,"Enterobacteriaceae"
"C6R5",0.001819422,"Enterobacteriaceae"
"C4R6",0.025017057,"Enterobacteriaceae"
"C6R6",0.002274278,"Enterobacteriaceae"
"C4R7",0.001137139,"Enterobacteriaceae"
"C6R7",0.000454856,"Enterobacteriaceae"
"C1R8",0.000682283,"Enterobacteriaceae"
"C4R8",0.002956561,"Enterobacteriaceae"
"C10R1",0.35637935,"Enterobacteriaceae"
"C12R1",0.000909711,"Enterobacteriaceae"
"C12R2",0.000454856,"Enterobacteriaceae"
"C12R3",0.000227428,"Enterobacteriaceae"
"C12R4",0.000682283,"Enterobacteriaceae"
"C12R5",0.000227428,"Enterobacteriaceae"
"C12R6",0.000227428,"Enterobacteriaceae"
"C10R7",0.000909711,"Enterobacteriaceae"
"C11R7",0.615647032,"Enterobacteriaceae"
"C12R4",0.000227428,"Enterobacteriaceae"
"C10R7",0.643393223,"Enterobacteriaceae"
"C11R2",0.000909711,"Enterobacteriaceae"
"C1R1",0.007732545,"Pseudomonadaceae"
"C2R1",0.389356379,"Pseudomonadaceae"
"C5R1",0.13077098,"Pseudomonadaceae"
"C7R1",0.064589493,"Pseudomonadaceae"
"C8R1",0.100068228,"Pseudomonadaceae"
"C12R1",0.044803275,"Pseudomonadaceae"
"C1R2",0.026381624,"Pseudomonadaceae"
"C2R2",0.137593814,"Pseudomonadaceae"
"C3R2",0.123493291,"Pseudomonadaceae"
"C7R2",0.0875597,"Pseudomonadaceae"
"C8R2",0.02160564,"Pseudomonadaceae"
"C10R2",0.111667046,"Pseudomonadaceae"
"C12R2",0.001364567,"Pseudomonadaceae"
"C1R3",0.212417557,"Pseudomonadaceae"
"C2R3",0.298385263,"Pseudomonadaceae"
"C3R3",0.092563111,"Pseudomonadaceae"
"C5R3",0.000682283,"Pseudomonadaceae"
"C7R3",0.039799864,"Pseudomonadaceae"
"C8R3",0.018876507,"Pseudomonadaceae"
"C10R3",0.072322038,"Pseudomonadaceae"
"C11R3",0.154878326,"Pseudomonadaceae"
"C1R4",0.125312713,"Pseudomonadaceae"
"C3R4",0.191494201,"Pseudomonadaceae"
"C7R4",0.102115078,"Pseudomonadaceae"
"C8R4",0.001819422,"Pseudomonadaceae"
"C10R4",0.090743689,"Pseudomonadaceae"
"C11R4",0.048669547,"Pseudomonadaceae"
"C12R4",0.121901296,"Pseudomonadaceae"
"C1R5",0.003638845,"Pseudomonadaceae"
"C2R5",0.226972936,"Pseudomonadaceae"
"C3R5",0.048214692,"Pseudomonadaceae"
"C6R5",0.000227428,"Pseudomonadaceae"
"C7R5",0.062087787,"Pseudomonadaceae"
"C8R5",0.3625199,"Pseudomonadaceae"
"C12R5",0.053900387,"Pseudomonadaceae"
"C1R6",0.020923357,"Pseudomonadaceae"
"C2R6",0.398453491,"Pseudomonadaceae"
"C3R6",0.079599727,"Pseudomonadaceae"
"C7R6",0.098248806,"Pseudomonadaceae"
"C8R6",0.290652718,"Pseudomonadaceae"
"C10R6",0.05048897,"Pseudomonadaceae"
"C12R6",0.086195133,"Pseudomonadaceae"
"C1R7",0.092563111,"Pseudomonadaceae"
"C2R7",0.010234251,"Pseudomonadaceae"
"C3R7",0.075960882,"Pseudomonadaceae"
"C7R7",0.038207869,"Pseudomonadaceae"
"C8R7",0.112576757,"Pseudomonadaceae"
"C9R7",0.001137139,"Pseudomonadaceae"
"C10R7",0.172390266,"Pseudomonadaceae"
"C11R7",0.087104844,"Pseudomonadaceae"
"C12R7",0.133500114,"Pseudomonadaceae"
"C1R8",0.012735956,"Pseudomonadaceae"
"C2R8",0.002501706,"Pseudomonadaceae"
"C3R8",0.150784626,"Pseudomonadaceae"
"C4R8",0.000682283,"Pseudomonadaceae"
"C7R8",0.031612463,"Pseudomonadaceae"
"C8R8",0.190357062,"Pseudomonadaceae"
"C6R1",0.457812145,"Pseudomonadaceae"
"C7R1",0.114851035,"Pseudomonadaceae"
"C6R2",0.464407551,"Pseudomonadaceae"
"C7R2",0.061632932,"Pseudomonadaceae"
"C12R2",0.000682283,"Pseudomonadaceae"
"C5R3",0.425744826,"Pseudomonadaceae"
"C6R3",0.381168979,"Pseudomonadaceae"
"C7R3",0.031157607,"Pseudomonadaceae"
"C8R3",0.000682283,"Pseudomonadaceae"
"C9R3",0.000682283,"Pseudomonadaceae"
"C6R4",0.440072777,"Pseudomonadaceae"
"C7R4",0.093245395,"Pseudomonadaceae"
"C8R4",0.002729134,"Pseudomonadaceae"
"C9R4",0.000454856,"Pseudomonadaceae"
"C6R5",0.462133273,"Pseudomonadaceae"
"C7R5",0.024334774,"Pseudomonadaceae"
"C12R5",0.000227428,"Pseudomonadaceae"
"C6R6",0.458039572,"Pseudomonadaceae"
"C7R6",0.05458267,"Pseudomonadaceae"
"C6R7",0.440072777,"Pseudomonadaceae"
"C7R7",0.079144872,"Pseudomonadaceae"
"C11R7",0.000682283,"Pseudomonadaceae"
"C6R8",0.420286559,"Pseudomonadaceae"
"C7R8",0.040709575,"Pseudomonadaceae"
"C12R1",0.040937003,"Pseudomonadaceae"
"C12R2",0.069365476,"Pseudomonadaceae"
"C8R4",0.217875824,"Pseudomonadaceae"
"C12R4",0.018876507,"Pseudomonadaceae"
"C8R5",0.033659313,"Pseudomonadaceae"
"C12R5",0.019331362,"Pseudomonadaceae"
"C7R7",0.0040937,"Pseudomonadaceae"
"C8R8",0.010234251,"Pseudomonadaceae"
"C8R1",0.016602229,"Pseudomonadaceae"
"C1R4",0.001137139,"Pseudomonadaceae"
"C3R6",0.02888333,"Pseudomonadaceae"
"C1R8",0.002274278,"Pseudomonadaceae"
"C1R1",0.438025927,"Pseudomonadaceae"
